年度,再生能源類別,分類,裝置容量級距,躉購費率（元/度）,計算公式
108,太陽光電(綠能屋頂),屋頂型(第二期),500瓩以上有併聯電業特高壓供電線路,4.7553,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,陸域,1瓩以上不及30瓩,7.7998,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.3219,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.2888,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,離岸(固定20年躉購費率(上限費率)),1瓩以上,5.0946,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,離岸(階梯式躉購費率(前10年)),1瓩以上,5.8015,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,離岸(階梯式躉購費率(後10年)),1瓩以上,3.8227,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,小水力發電,無區分,1瓩以上,2.8599,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,地熱能,無區分(固定20年躉購費率),1瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,地熱能,無區分(階梯式躉購費率(前10年)),1瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,地熱能,無區分(階梯式躉購費率(後10年)),1瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,生質能,無厭氧消化設備,1瓩以上,2.6871,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,生質能,有厭氧消化設備,1瓩以上,5.1176,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,廢棄物,無區分,1瓩以上,3.9482,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第一期),1瓩以上不及20瓩,5.7132,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第二期),1瓩以上不及20瓩,5.7132,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第一期),20瓩以上不及100瓩,4.4366,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第二期),20瓩以上不及100瓩,4.3701,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第一期),100瓩以上不及500瓩,4.1372,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第二期),100瓩以上不及500瓩,4.0722,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(無併聯電業特高壓供電線路)(第一期),500瓩以上,4.0571,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(無併聯電業特高壓供電線路)(第二期),500瓩以上,3.9917,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(有併聯電業特高壓供電線路)((第一期),500瓩以上,4.0571,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(有併聯電業特高壓供電線路)(第二期),500瓩以上,3.9917,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(無併聯電業特高壓供電線路)((第一期),1瓩以上,3.9383,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(無併聯電業特高壓供電線路)(第二期),1瓩以上,3.8752,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(有併聯電業特高壓供電線路)(第一期),1瓩以上,3.9383,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(有併聯電業特高壓供電線路)(第二期),1瓩以上,3.8752,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(無併聯電業特高壓供電線路)(第一期),1瓩以上,4.3319,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(無併聯電業特高壓供電線路)(第二期),1瓩以上,4.2709,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(有併聯電業特高壓供電線路)(第一期),1瓩以上,4.3319,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(有併聯電業特高壓供電線路)(第二期),1瓩以上,4.2709,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,陸域,1瓩以上不及30瓩,7.7725,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.3041,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.3041,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,離岸(固定20年),1瓩以上,4.6568,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,離岸(階梯前10年),1瓩以上,5.3064,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,離岸(階梯後10年),1瓩以上,3.5206,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,小水力,無區分,1瓩以上不及2,3.1683,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=330
110,小水力,無區分,2000瓩以上不及20000瓩,2.8599,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,地熱能,無區分(固定20年),1瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,地熱能,無區分(階梯前10年),1瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,地熱能,無區分(階梯後10年),1瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,生質能,無厭氧消化設備,1瓩以上,2.6884,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,生質能,有厭氧消化設備,1瓩以上,5.1176,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,廢棄物,無區分,1瓩以上,3.9482,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期),1瓩以上不及20瓩,5.7363,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期),1瓩以上不及20瓩,5.6937,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期),20瓩以上不及100瓩,4.396,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期),20瓩以上不及100瓩,4.3562,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期),100瓩以上不及500瓩,4.0631,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期),100瓩以上不及500瓩,3.9883,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期)(無併聯電業特高壓供電線路者),500瓩以上,4.0105,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期)(有併聯電業特高壓供電線路者),500瓩以上,4.4847,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期)(無併聯電業特高壓供電線路者),500瓩以上,3.9636,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期)(有併聯電業特高壓供電線路者),500瓩以上,4.4378,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第一期)(無併聯電業特高壓供電線路者),1瓩以上,3.865,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第一期)(有併聯電業特高壓供電線路者),1瓩以上,4.3104,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第二期)(無併聯電業特高壓供電線路者),1瓩以上,3.7892,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第二期)(有併聯電業特高壓供電線路者),1瓩以上,4.2346,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第一期)(無併聯電業特高壓供電線路者),1瓩以上,4.2613,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第一期)(有併聯電業特高壓供電線路者),1瓩以上,4.6923,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第二期)(無併聯電業特高壓供電線路者),1瓩以上,4.186,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第二期)(有併聯電業特高壓供電線路者),1瓩以上,4.617,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,陸域,1瓩以上不及30瓩,7.411,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.1223,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.0883,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,離岸(固定20年),1瓩以上,4.5024,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,離岸(階梯前10年),1瓩以上,5.1356,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,離岸(階梯後10年),1瓩以上,3.4001,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,小水力,無區分,500瓩以上不及2000瓩,4.1539,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,小水力,無區分,2000瓩以上不及20000瓩,2.8599,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(固定20年),1瓩以上不及2000瓩,5.7736,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯前10年),1瓩以上不及2000瓩,7.0731,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯後10年),11瓩以上不及2000瓩,3.6012,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(固定20年),2000瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯前10年),2000瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯後10年),2000瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,生質能,無厭氧消化設備,1瓩以上,2.8066,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,生質能,有厭氧消化設備,1瓩以上,5.1842,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,廢棄物,一般及一般事業廢棄物,1瓩以上,3.9482,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,廢棄物,農業廢棄物,1瓩以上,5.1407,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,海洋能,無區分,1瓩以上,7.32,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第一期),1瓩以上不及20瓩,5.8952,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第二期),1瓩以上不及20瓩,5.7848,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第一期),20瓩以上不及100瓩,4.5549,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第二期),20瓩以上不及100瓩,4.4538,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第一期),100瓩以上不及500瓩,4.097,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第二期),100瓩以上不及500瓩,3.9666,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第一期),500瓩以上,4.1122,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第二期),500瓩以上,3.9727,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,地面型(第一期),1瓩以上,4.0031,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,地面型(第二期),1瓩以上,3.868,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,水面型(浮力式)(第一期),1瓩以上,4.396,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,水面型(浮力式)(第二期),1瓩以上,4.2612,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
112,風力發電,陸域,1瓩以上不及30瓩,7.411,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.1286,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.0949,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,風力發電,離岸(固定20年躉購費率),1瓩以上,4.5085,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,風力發電,離岸(階梯式躉購費率(前10年)),1瓩以上,5.1438,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,風力發電,離岸(階梯式躉購費率(後10年)),1瓩以上,3.4026,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,生質能,無厭氧消化設備,1瓩以上,2.8066,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,生質能,有厭氧消化設備,1瓩以上,7.0089,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,生質能,農林植物,1瓩以上,3.1187,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,廢棄物,一般及一般事業廢棄物,1瓩以上,3.9482,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,廢棄物,農業廢棄物,1瓩以上,5.1407,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,小水力發電,無區分,1瓩以上不及500瓩,4.8936,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,小水力發電,無區分,500瓩以上不及2000瓩,4.2285,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,小水力發電,無區分,2000瓩以上不及20000瓩,2.8599,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,地熱能,無區分(固定20年躉購費率),1瓩以上不及2000瓩,5.9406,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,地熱能,無區分(階梯式躉購費率(前10年)),1瓩以上不及2000瓩,7.3188,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,地熱能,無區分(階梯式躉購費率(後10年)),1瓩以上不及2000瓩,3.6416,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,地熱能,無區分(固定20年躉購費率),2000瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,地熱能,無區分(階梯式躉購費率(前10年)),2000瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,地熱能,無區分(階梯式躉購費率(後10年)),2000瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,海洋能,無區分,1瓩以上,7.32,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(第一期上限費率),1瓩以上不及20瓩,5.8952,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(第二期上限費率),1瓩以上不及20瓩,5.7848,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(無繳納併網工程費)(第一期上限費率),20瓩以上不及100瓩,4.5549,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(無繳納併網工程費)(第二期上限費率),20瓩以上不及100瓩,4.4538,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(有繳納併網工程費)(第一期上限費率),20瓩以上不及100瓩,4.4861,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(有繳納併網工程費)(第二期上限費率),20瓩以上不及100瓩,4.3864,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(第一期上限費率),100瓩以上不及500瓩,4.097,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(第二期上限費率),100瓩以上不及500瓩,3.9666,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(第一期上限費率),500瓩以上,4.1122,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,屋頂型(第二期上限費率),500瓩以上,3.9727,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,地面型(第一期上限費率),1瓩以上,4.0031,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,地面型(第二期上限費率),1瓩以上,3.868,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,水面型(浮力式)(第一期上限費率),1瓩以上,4.396,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
112,太陽光電,水面型(浮力式)(第二期上限費率),1瓩以上,4.2612,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=21989
